"","gene_name","logFC","logCPM","LR","PValue","FDR","moduleColors","moduleColors_merged"
"3863","Cwc22",0.119963693534901,4.53498320291496,1.00177106303356,0.316882341612272,0.7987718903983,"blue","blue"
"3864","Cwc25",0.0126814776272335,4.64993149613266,0.0143249074957446,0.904731332050052,0.986480269181249,"blue","blue"
"3865","Cwc27",0.044354005694344,4.8785439936025,0.130459072762321,0.717956530673453,0.946428691404591,"grey","grey"
"3866","Cwf19l1",0.0605415017263502,4.81441431723685,0.380579765689607,0.537293118807261,0.896351658498704,"grey","grey"
"3867","Cwf19l2",0.000731197344920028,3.88436098961503,3.76978367881975e-05,0.995101134140945,0.99955348820869,"magenta","YeMaBl"
"3868","Cwh43",0.305879107233156,0.815907054157517,1.81043388763901,0.178456189747621,0.692122178099893,"turquoise","turquoise"
"3869","Cx3cl1",-0.0180525141145909,6.75808544079507,0.0140148878873703,0.90576301315418,0.98682860053418,"turquoise","turquoise"
"3870","Cx3cr1",-0.173371202590468,3.61557812110038,0.903506979203035,0.341843098412681,0.806452626232585,"grey","grey"
"3871","Cxadr",-0.128295296830029,8.77632551267545,1.06775085550106,0.301454027413402,0.789893847438246,"turquoise","turquoise"
"3872","Cxcl1",0.962700223099059,-2.29018259332847,4.7399900791514,0.0294692411950583,0.419513713773354,"turquoise","turquoise"
"3873","Cxcl10",-1.25340860609896,-2.84990817201104,4.65912532806558,0.0308889230355023,0.422786409439691,"grey","grey"
"3874","Cxcl12",0.310718552638357,5.94579912322951,1.43125018604814,0.231560515803309,0.736533572475659,"grey","grey"
"3875","Cxcl14",0.173784134974554,5.51804929437709,0.924458065709302,0.336307145975296,0.80478003909131,"turquoise","turquoise"
"3876","Cxcl16",-0.0986921042556857,1.24485748050763,0.225327173369577,0.635010516690176,0.923580321834743,"grey","grey"
"3877","Cxcl17",0.819163938981104,-3.35635929961328,1.1687683027927,0.27965446570302,0.771103674477057,"grey","grey"
"3878","Cxcr4",0.0710189725257035,4.73564188133917,0.372950024329636,0.541400626980524,0.897902427476035,"grey","grey"
"3879","Cxcr5",0.598752230540356,-0.791470898481267,3.96659350257038,0.0464115742764316,0.469570939984383,"magenta","YeMaBl"
"3880","Cxx1a",-0.016577463558385,4.50580156728457,0.0094237297239772,0.922666122071814,0.9890473714706,"turquoise","turquoise"
"3881","Cxx1b",-0.0212487665681175,4.8600690748352,0.0200557325518229,0.887381540160687,0.983197914278344,"turquoise","turquoise"
"3882","Cxx1c",-0.0530621144916436,6.24749148492234,0.117333537082029,0.731944672689261,0.948246201713559,"turquoise","turquoise"
"3883","Cxxc1",0.258588164699213,6.6322571617139,4.42067305908168,0.0355060285202443,0.431859760539498,"blue","blue"
"3884","Cxxc4",-0.0799356745596036,6.48489839147109,0.37094336015403,0.542490504578716,0.898243313429154,"turquoise","turquoise"
"3885","Cxxc5",-0.171620229254791,5.45167691643262,1.89429124058899,0.168718705230105,0.682553005409876,"blue","blue"
"3886","Cyb5",-0.0711166790143733,6.36528053702756,0.192770471412182,0.660620712118812,0.929602904491769,"grey","grey"
"3887","Cyb561",0.0981222208114724,5.08413366702266,0.539823867259029,0.462505730728679,0.874175293938039,"turquoise","turquoise"
"3888","Cyb561a3",0.00607381101755465,4.58480792428822,0.00305064205782379,0.955953143422293,0.995813279303906,"brown","BrRePi"
"3889","Cyb561d1",0.254937650545902,4.11690205692618,2.47687350975543,0.115531705229095,0.618393719190259,"yellow","YeMaBl"
"3890","Cyb561d2",-0.111471814416314,4.34276158850093,0.551410516105431,0.457741930132919,0.873516450178387,"yellow","YeMaBl"
"3891","Cyb5b",-0.181196821625276,7.57492681317748,2.40198558325305,0.121181352059144,0.623503959279736,"blue","blue"
"3892","Cyb5d1",-0.0742898415769386,1.49936754861252,0.159313376365636,0.689789462585274,0.938025440729273,"blue","blue"
"3893","Cyb5d2",0.0240057564357295,2.50339759009737,0.0222835795429326,0.88133517739018,0.982294868531865,"grey","grey"
"3894","Cyb5r1",0.153218217247763,3.90220727887383,1.52782361319317,0.216439375685586,0.726995536842325,"pink","BrRePi"
"3895","Cyb5r3",-0.143408901259375,7.05073042938756,1.56264388003263,0.211278524928757,0.724093961763592,"blue","blue"
"3896","Cyb5r4",-0.0154490650839552,4.71411477725208,0.0106119940679879,0.917951436426604,0.9890473714706,"blue","blue"
"3897","Cyb5rl",-0.0595455147984003,1.22118696510107,0.100030592784232,0.751792924601402,0.950335022404547,"brown","BrRePi"
"3898","Cyba",0.351531076170303,2.39362399648217,2.36231422107538,0.124297673286911,0.625365610634599,"grey","grey"
"3899","Cybb",0.106518485810207,-0.589351352331571,0.0542513657006474,0.815824129031489,0.966183916467891,"grey","grey"
"3900","Cybrd1",-0.395499989252808,3.64959489551845,4.47113008362284,0.0344721846254553,0.429689699451552,"turquoise","turquoise"
"3901","Cyc1",-0.0156270725462679,7.3201403212719,0.0204461962777103,0.886297923738606,0.982831381810318,"brown","BrRePi"
"3902","Cycs",0.0132935395800281,2.29425858126184,0.00290750330530187,0.956997890699233,0.995906560694635,"grey","grey"
"3903","Cyfip1",0.121359683073174,6.33368683229439,1.39039465873574,0.238338462534671,0.743281671789375,"blue","blue"
"3904","Cyfip2",-0.156093821725683,8.55401220118077,1.58174620615772,0.208509345809334,0.721321158420968,"turquoise","turquoise"
"3905","Cygb",-0.0333973548221357,4.85204765093847,0.0606954076226067,0.805400177393066,0.96398540335599,"turquoise","turquoise"
"3906","Cyhr1",0.0736302759579922,6.95719585571125,0.640437343847068,0.423552473000312,0.854979007770861,"red","BrRePi"
"3907","Cyld",0.0596124093926716,5.30352331010384,0.347035545944213,0.555796051735416,0.901302990368431,"turquoise","turquoise"
"3908","Cym",1.3023237716195,-1.28613290336629,5.48437767040717,0.0191871491374257,0.381287211268007,"grey","grey"
"3909","Cyp11a1",0.507549612392111,-0.677563383266098,3.29659338105269,0.0694237209564976,0.527601224268205,"turquoise","turquoise"
"3910","Cyp19a1",-0.643103030172812,-1.59220225027773,2.07953143466988,0.149285996582874,0.656444168316398,"grey","grey"
"3911","Cyp1a1",0.0149104412470869,-0.695139436930847,0.00303420325564119,0.956071859682014,0.995813279303906,"turquoise","turquoise"
"3912","Cyp1b1",0.903822249831889,3.14395477979162,2.36053672212348,0.124439368541426,0.625470420597994,"grey","grey"
"3913","Cyp20a1",0.0185572499203825,3.91503619574213,0.022298482201272,0.881295798061854,0.982294868531865,"pink","BrRePi"
"3914","Cyp26a1",0.167557344138675,-1.83977157106994,0.147555041070248,0.700882884263328,0.940477110749244,"green","green"
"3915","Cyp26b1",-0.329689947210491,5.03552582239835,2.33817239373211,0.12623758183072,0.628275897829165,"turquoise","turquoise"
