"","gene_name","logFC","logCPM","LR","PValue","FDR","moduleColors","moduleColors_merged"
"5101","Fam166b",-0.172047581796532,-1.27515726330696,0.125521053921021,0.723121931540246,0.825574803163323,"turquoise","turquoise"
"5102","Fam167a",-0.476059180846759,5.0762361401932,20.9741239289866,4.65528671316607e-06,4.09045197985772e-05,"blue","blue"
"5103","Fam167b",-1.36145359598502,-2.49558622280702,3.55561690734197,0.0593442449974836,0.133707865065134,"blue","blue"
"5104","Fam168a",0.0549408617329327,8.50456916337751,0.378282104140203,0.538524062028939,0.68156492261309,"turquoise","turquoise"
"5105","Fam168b",-0.0337701195815885,9.60378181376807,0.102230507349131,0.74916918123508,0.844830372707861,"red","BrRePi"
"5106","Fam169a",0.450778213193482,5.01654717993053,21.2784336952807,3.97174879535312e-06,3.53967661723151e-05,"turquoise","turquoise"
"5107","Fam169b",0.843087811911328,-2.3611303973491,2.05893423172259,0.151315970940309,0.276505930144888,"turquoise","turquoise"
"5108","Fam171a1",0.167891649345692,6.49631484223323,4.9368725020999,0.0262895640933065,0.0698744408238243,"pink","BrRePi"
"5109","Fam171a2",0.262216577591881,8.89402079847344,7.33079913102288,0.00677829107815141,0.0229176845640249,"turquoise","turquoise"
"5110","Fam171b",0.371107957397086,6.86910239283802,20.6056743859945,5.64286136884436e-06,4.84027469106634e-05,"turquoise","turquoise"
"5111","Fam172a",-0.0850739198017402,6.05553177419648,0.886010861549461,0.346560620875717,0.504560179078856,"brown","BrRePi"
"5112","Fam173a",0.0125448092021096,4.50020824736492,0.0120600072272086,0.912553664525526,0.949106106367427,"grey","grey"
"5113","Fam173b",-0.293319400531602,2.96831972920741,2.72880869524038,0.0985527728827888,0.199751836032819,"blue","blue"
"5114","Fam174a",0.0385704021517932,3.59626158273081,0.0540099084838319,0.816227100825209,0.889686991691337,"brown","BrRePi"
"5115","Fam174b",0.889844592024184,5.86445527896313,98.6142013423269,3.06811085899265e-23,3.58218497342387e-21,"turquoise","turquoise"
"5116","Fam175a",-0.402417555024994,2.46204552167672,4.32907745012052,0.0374665474783,0.0923799147713962,"blue","blue"
"5117","Fam175b",-0.081040432375702,5.21677957986445,0.867413259660792,0.351672424464211,0.509487513170039,"blue","blue"
"5118","Fam178a",-0.212750328025849,5.66353471779154,6.09496288285372,0.0135567773813541,0.0404138391113145,"yellow","YeMaBl"
"5119","Fam179a",0.935343770726365,0.0268629201671502,4.87367173627559,0.0272694200515383,0.0719485316235434,"turquoise","turquoise"
"5120","Fam179b",0.112482919532698,4.9580200537594,1.33148821291028,0.248540635665974,0.398416236292286,"grey","grey"
"5121","Fam180a",-1.0646223040833,-0.898090395251369,1.78645183695897,0.181359069613242,0.316209318946423,"turquoise","turquoise"
"5122","Fam181a",0.0620972514867272,1.29412307331097,0.059181276891719,0.807794676327882,0.883773075316262,"grey","grey"
"5123","Fam181b",0.0286963151881052,5.22548088493331,0.0535474855968765,0.817001504478884,0.889754221996229,"red","BrRePi"
"5124","Fam183b",0.275507735084538,0.0699756881862595,0.366919098747724,0.544688431389172,0.68679578533252,"grey","grey"
"5125","Fam184a",0.353238188078139,3.57065644182008,4.66126017681195,0.0308505410647334,0.0793129765220995,"yellow","YeMaBl"
"5126","Fam184b",0.333221126550696,3.3494488065145,3.27115075424659,0.0705081488158904,0.153945479232219,"turquoise","turquoise"
